score,review
4.0 out of 5 stars,"
  I needed this for that day, Friday, where we are to wear a polo shirt and jeans. I don't really wear polo shirts so wasn't looking to spend a lot of money on them. I am writing this review in August having bought it the previous December.<br>It's fairly comfy and the fit is right. It fits a little loose but doesn't hang off me, it hangs down just the right length in my opinion. Having run it through the wash many times now I can say it doesnt appear to have faded, and the stitching isn't falling apart either. Honestly, for what you pay for these, I consider that to be pretty good.
"
4.0 out of 5 stars,"
  I wear a Large size short sleeve version and i thought XL would be a better fit w the  long sleeves it wasn't...nice shirt for the price...not crazy about the white shirts...blue (navy/electric) maroon black pink green look great and even wear better
"
2.0 out of 5 stars,"
  I really don't like to write reviews that are not positive, but I must on this one, in that I feel I can prevent non-positive reactions when you receive yours.  I wanted something inexpensive, but decent looking for my husband, an artist, to wear on a daily basis.  This is about the most unattractive shirt in everyway that I can think of.  It is flimsy, it's colors are dull, it looks like they took to pieces cut out the outline and sewed them together...that's not what they did, but the shirt sure looks like it.  I was so offended, that I went through the entire return process even though they were quite inexpensive.  At $9.00 it was not worth it!
"
5.0 out of 5 stars,"
  These polo shirts fit very nicely.  I have broad shoulders and a moderately muscled chest.  I find often that shirts that fit my chest and shoulders are then too big around the waist and too long.  These Jerzees polos are the exception at they fit me well in all areas and add to a slimming appearance.  I bought these as something akin to a uniform for my massage business work.  The chest and shoulder fit is trim enough to accentuate my torso shape and roomy enough to accommodate my reaching and lifting of clients during my work.  I will order more, too, as I like these as everyday wear better than just T-shirts.
"
4.0 out of 5 stars,"
  Fits as expected, and a great quality garment at this price point. I work in industrial sales, I love these shirts because I don't feel guilty when I get grease on them or catch the corner of a machine and put a hole in it.<br><br>The stain guard is a double edged sword. They don't stain easy, this is true, even after several washed the liquids just bead up and roll off without penetrating the fabric, this is also the downside for me. The shirts don't adsorb sweat AT ALL. The sweat rather stays on your skin, and leaves a icky feeling as it beads and rolls off your back. I've noticed after 20 or so washings it's better, but still not super comfortable in a hot humid environments. I'm forced to wear a undershirt under these, more layers, hotter, but helps absorb sweat.
"
5.0 out of 5 stars,"
  Needed a shirt for work that was black , polo and comfortable. Normally, when I order shirts they are made of some sort of sweaty  blend of fabric which makes it horrible to wear and hot. Not this bad boy! This is cotton, comfortable, professional but I'm not suffering the dreaded itchy fabric blues.  A shirt that says, I am a professional but I'm not itchy.
"
5.0 out of 5 stars,"
  I'm a five foot one female and weigh 160 lbs, carrying most of my weight in my midsection.  I had to return the women's size large polo shirts in lieu of the men's medium. They fit perfect.  And I love the California blue because it is more teal then it is turquoise.  They wash and wear very well.  I took them out of the dryer after the cool down cycle and there were very few wrinkles.  Not even enough to iron.  They don't seem to have shrunk, either, since they are 50% polyester and 50% cotton.
"
5.0 out of 5 stars,"
  I've been searching for the right shirt for our adult team mentors for over a year.. and from the feedback, I thought I'd try this one. This shirt is excellent.  The fabric is super soft for wearing and yet the shape and fabric are stable.  No wrinkles after 14 hours of wear, looks as fresh and new as when it came.  Washes up ""like new"".  (I washed one of the 8 we purchased, and could not tell which one was washed compared to the others, it retained the same fit and same quality as the not-yet-washed.)<br>For those who want to know: it is also the right fabric for an embroidered logo. (Many shirts' weave is too loose or too tight, distorting the logo after it's stitched on; or after washing the shirt the logo is too loose on the tighter, shrunk fabric.)  The aspect was my biggest concern when I purchased them: would this shirt work great for a stitched logo?  We took it to our embroiderer and the resultant logo is crisp, clean, not distorted. In a word: perfect.  Even after washing multiple times.  The background fabric is major component to achieving a beautiful logo.  This shirt exceeded my expectations.<br>For ""fit"" I compared the medium to the large, and the difference is 1"" extra inch on either shoulder, and 1-1/2"" longer.  The shirt is not tapered and fits the adult body that is not quite as slim as he/she used to be perfectly.  (If you are wavering in sizes between M and L, if the person is a skinny, pick the M, it will fit without the bulk of extra fabric around the waist.)  I'll be back for more shorts as our team expands. Very happy!
"
2.0 out of 5 stars,"
  I feel reviews are super important to help other online shoppers. With that being said, I read reviews of this shirt and it was highly rated so I decided to purchase two in white. However, when my order arrived, I was extremely disappointed with the material quality. These shirts are super thin and you can see through them! My son tried one on and you could see the color of his nipples through them. Very disappointed since I have other Jerzees shirts and have been happy with them.
"
3.0 out of 5 stars,"
  This is a fine shirt. It looks good, it fits well, it seems to hold up to repeated washings. The navy color is very close to what's pictured, and the fabric feels better than what you expect from a poly blend. However, there is a very strong chemical smell that has persisted through multiple washings. Maybe it's a fire retardant coating or something to do with the spot shield marketing. Whatever it is, the smell lingers on other clothes stacked on or near the shirts. That alone will keep me from buying another copy of this shirt.
"
