score,review
5.0 out of 5 stars,"
  Sensacional al tacto y su estructura.<br><br>Dato a tomar en cuenta: Las tallas de CK en EEUU son más amplias que en Mexico.
"
5.0 out of 5 stars,"
  Excelente la calidad del producto es muy buena, la talla es la adecuada no viene reducida como otras marcas
"
5.0 out of 5 stars,"
  La ame  muy buena tela súper suave me veo increíble. Comprare otra definitivamente la súper recomiendo
"
5.0 out of 5 stars,"
  Me queda perfecto talla mediana la tela muy agradable al tacto, me agrada mucho la marca CK
"
5.0 out of 5 stars,"
  Great colour, very comfortable. Wears and washes well. I buy one size up so that it’s long enough.
"
5.0 out of 5 stars,"
  mido 1.76 y peso 72 Kgs. me quedó muy bien aunque es un poquito larga
"
5.0 out of 5 stars,"
  Me gustó mucho el diseño, pero estaba un poco grande para ser talla chica, a mi parecer. Otras playeras CK aquí en Mexico de talla chica me quedan mejor
"
5.0 out of 5 stars,"
  La tela es incomparable. Nunca ninguna otra marca habia logrado esto. No en mi experiencia.
"
5.0 out of 5 stars,"
  Ajuste normal, y calidad que se espera de CK
"
5.0 out of 5 stars,"
  el corte, el color la textura, todo perfecto!
"
5.0 out of 5 stars,"
  Queda bien
"
5.0 out of 5 stars,"
  fresca para una tarde de verano.
"
5.0 out of 5 stars,"
  Extraordinario producto, luce perfecto, la tela es de suavidad poco vista, el diseño muy bueno, los distributivos de la marca excelentes
"
3.0 out of 5 stars,"
  El producto me quedo excelente con un buen precio, pero el color de la ropa no es  cinético ni se parece de la foto subió ellos. Tiene color mas claro que imaginé
"
5.0 out of 5 stars,"
  Se ve mejor en persona que en fotos
"
5.0 out of 5 stars,"
  Muy hermosa playera y la tela muy cómoda y suave
"
4.0 out of 5 stars,"
  La camisa me gustó aunque en el anuncio traía una franja verde cosa que no llego así pero me gusto y me la quedé
"
5.0 out of 5 stars,"
  Bien
"
5.0 out of 5 stars,"
  Très bon produit
"
5.0 out of 5 stars,"
  Muy buena calidad, la talla me quedo perfecta es justo lo que pides. calidad y precio, recomendado.
"
5.0 out of 5 stars,"
  Es de muy buena calidad y muy cómoda
"
5.0 out of 5 stars,"
  buena calidad de producto
"
5.0 out of 5 stars,"
  Excelente calidad de materiales, buen ajuste al cuerpo
"
5.0 out of 5 stars,"
  Llegó mucho antes de lo esperado.
"
4.0 out of 5 stars,"
  I always wear L shirts, but this one is bigger than my size. But the colour is good
"
5.0 out of 5 stars,"
  Me quedó muy bien con una tela de calidad muy suave
"
5.0 out of 5 stars,"
  Very good thanks
"
