score,review
5.0 out of 5 stars,"
  This shirt fit him perfectly and he loves it.
"
2.0 out of 5 stars,"
  These shirts were a great value but they come out of the dryer wrinkled.
"
5.0 out of 5 stars,"
  Shirt had a nice look and was a good value.
"
1.0 out of 5 stars,"
  Not a no-iron shirt.  A neat and hard to find color pattern, but be prepared to get the iron out. Straight from the dryer its wrinkled.
"
4.0 out of 5 stars,"
  Quality good.  Fit good.  Holds up washing.  Would buy again.
"
5.0 out of 5 stars,"
  I liked this shirt, fits good, quality built.
"
5.0 out of 5 stars,"
  I Love this shirts, but as they are too small for my husbands neck, I am returning and ordering a larger size. They are truly beautiful.
"
5.0 out of 5 stars,"
  Material is not the greatest like Tommy Hilfiger shirts but it is right for the price.
"
5.0 out of 5 stars,"
  I was Very Pleased...., THANK YOU
"
3.0 out of 5 stars,"
  poor fit buy a size or two up.
"
5.0 out of 5 stars,"
  Good fit. Need to add another button to the bottom of the shirt to help keep it straight when tucked in your pants.
"
5.0 out of 5 stars,"
  Awesome quality great value
"
5.0 out of 5 stars,"
  good fit, easy  to move in
"
3.0 out of 5 stars,"
  Fit is a bit snug<br>Order up a size
"
1.0 out of 5 stars,"
  Shirt wears fine, unfortunately though after about the third dry cleaning the blue stripes are now bleeding into the white fabric.  Same professional dry cleaners I’ve used for decades and not had this happen to any other dress shirt or garment.  Disappointing to say the least, two months use and now into the trash...
"
5.0 out of 5 stars,"
  I really love this shirt its fit perfectly, it is just perfect for me. Thanks a lot!
"
5.0 out of 5 stars,"
  I like design,color,brandname.
"
5.0 out of 5 stars,"
  Beautiful shirt, great colors, fits very well and the price is very good. Van Huesen shirts have been around for a long time, there's a good reason!
"
2.0 out of 5 stars,"
  The feel of the fabric and the fit is not as expected.  With only wearing this a few times, the shirt should not have lose threads.  I should have returned it prior to the cut off time, but unfortunately I procrastinated.  :-(
"
5.0 out of 5 stars,"
  Fits great! Just what I needed!
"
2.0 out of 5 stars,"
  I ordered 18.5/36 -37 tall. Shirt would be fine except the tail is too short.
"
5.0 out of 5 stars,"
  Quality fabric and fit
"
3.0 out of 5 stars,"
  Quality not as expected..<br>Buttons loose..stitching coming undone in the shoulder seem??<br>This brand used to be of better quality.
"
5.0 out of 5 stars,"
  Quality was good.
"
5.0 out of 5 stars,"
  Fits great. Good value.
"
4.0 out of 5 stars,"
  Not wrinkle free
"
4.0 out of 5 stars,"
  Nice color on shirt. Fit was perfect. Material was a bit thin. Not the highest thread count either. A decent everyday shirt.
"
4.0 out of 5 stars,"
  Nice product. High quality. Reasonably priced
"
3.0 out of 5 stars,"
  Purchased the shirt for my husband for work.  One of the collar buttons was missing when it arrived.  Fortunately had an extra button and sewed it on, but disappointing that the shirt arrived with the button missing,
"
5.0 out of 5 stars,"
  Looks great
"
